City,Latitude,Longitude
Ahmedabad,23.03,72.58
Aizawl,23.73,92.72
Amaravati,16.51,80.52
Amritsar,31.63,74.87
Bengaluru,12.97,77.59
Bhopal,23.26,77.41
Brajrajnagar,21.82,83.92
Chandigarh,30.74,76.79
Chennai,13.08,80.27
Coimbatore,11.02,76.97
Delhi,28.61,77.23
Ernakulam,9.98,76.30
Gurugram,28.46,77.03
Guwahati,26.14,91.74
Hyderabad,17.39,78.49
Jaipur,26.91,75.79
Jorapokhar,23.67,86.42
Kochi,9.93,76.26
Kolkata,22.57,88.36
Lucknow,26.85,80.95
Mumbai,19.08,72.88
Patna,25.59,85.14
Shillong,25.57,91.88
Talcher,20.95,85.23
Visakhapatnam,17.69,83.22
